"time","adder.y","source1.y","source2.y"
0.5132,0.981848,0.490968,0.490968
0.5133,0.982022,0.491055,0.491055
0.5134,0.982196,0.491142,0.491142
0.5135,0.982371,0.491229,0.491229
0.5136,0.982545,0.491316,0.491316
0.5137,0.982719,0.491403,0.491403
0.5138,0.982893,0.49149,0.49149
0.5139,0.983067,0.491577,0.491577
0.514,0.983242,0.491664,0.491664
0.5141,0.983416,0.491751,0.491751
0.5142,0.98359,0.491838,0.491838
0.5143,0.983764,0.491926,0.491926
0.5144,0.983938,0.492013,0.492013
0.5145,0.984112,0.4921,0.4921
0.5146,0.984286,0.492187,0.492187
0.5147,0.98446,0.492274,0.492274
0.5148,0.984635,0.492361,0.492361
0.5149,0.984809,0.492448,0.492448
0.515,0.984983,0.492535,0.492535
0.5151,0.985157,0.492622,0.492622
0.5152,0.985331,0.492709,0.492709
0.5153,0.985505,0.492796,0.492796
0.5154,0.985679,0.492883,0.492883
0.5155,0.985853,0.49297,0.49297
0.5156,0.986027,0.493057,0.493057
0.5157,0.986201,0.493144,0.493144
0.5158,0.986375,0.493231,0.493231
0.5159,0.986549,0.493318,0.493318
0.516,0.986723,0.493405,0.493405
0.5161,0.986897,0.493492,0.493492
0.5162,0.987071,0.493579,0.493579
0.5163,0.987245,0.493666,0.493666
0.5164,0.987419,0.493753,0.493753
0.5165,0.987593,0.49384,0.49384
0.5166,0.987766,0.493927,0.493927
0.5167,0.98794,0.494014,0.494014
0.5168,0.988114,0.494101,0.494101
0.5169,0.988288,0.494188,0.494188
0.517,0.988462,0.494274,0.494274
0.5171,0.988636,0.494361,0.494361
0.5172,0.98881,0.494448,0.494448
0.5173,0.988984,0.494535,0.494535
0.5174,0.989157,0.494622,0.494622
0.5175,0.989331,0.494709,0.494709
0.5176,0.989505,0.494796,0.494796
0.5177,0.989679,0.494883,0.494883
0.5178,0.989853,0.49497,0.49497
0.5179,0.990026,0.495057,0.495057
0.518,0.9902,0.495144,0.495144
0.5181,0.990374,0.49523,0.49523
0.5182,0.990548,0.495317,0.495317
0.5183,0.990721,0.495404,0.495404
0.5184,0.990895,0.495491,0.495491
0.5185,0.991069,0.495578,0.495578
0.5186,0.991243,0.495665,0.495665
0.5187,0.991416,0.495752,0.495752
0.5188,0.99159,0.495838,0.495838
0.5189,0.991764,0.495925,0.495925
0.519,0.991937,0.496012,0.496012
0.5191,0.992111,0.496099,0.496099
0.5192,0.992285,0.496186,0.496186
0.5193,0.992458,0.496273,0.496273
0.5194,0.992632,0.496359,0.496359
0.5195,0.992806,0.496446,0.496446
0.5196,0.992979,0.496533,0.496533
0.5197,0.993153,0.49662,0.49662
0.5198,0.993326,0.496707,0.496707
0.5199,0.9935,0.496793,0.496793
