"time","wallTime","wc2.P.x [m]","wc2.P.v [m/s]","wc2.P.F [N]","wc1.P.x [m]","wc1.P.v [m/s]","wc1.P.F [N]"
0.27,1.85793,0.00838021,0.155052,168.962,0.0508084,-0.0160979,-168.892
0.272,1.86042,0.00869245,0.157893,167.465,0.0507658,-0.0298612,-167.397
0.274,1.86283,0.00901034,0.160686,165.839,0.050696,-0.0433018,-165.772
0.276,1.86536,0.00933377,0.163426,164.085,0.0505995,-0.0563942,-164.021
0.278,1.86794,0.00966265,0.166112,162.208,0.0504771,-0.0691137,-162.146
0.28,1.87039,0.00999685,0.16874,160.212,0.0503296,-0.0814363,-160.151
0.282,1.91633,0.0103363,0.171308,158.099,0.0501577,-0.0933388,-158.04
0.284,1.91824,0.0106808,0.173813,155.874,0.0499624,-0.104799,-155.818
0.286,1.92193,0.0110302,0.176252,153.541,0.0497445,-0.115795,-153.488
0.288,1.92654,0.0113845,0.178623,151.105,0.0495049,-0.126306,-151.055
0.29,1.93095,0.0117435,0.180924,148.57,0.0492447,-0.136313,-148.522
0.292,1.93534,0.012107,0.183153,145.942,0.0489649,-0.145796,-145.897
0.294,1.9397,0.012475,0.185307,143.224,0.0486665,-0.154738,-143.182
0.296,1.94388,0.0128472,0.187384,140.422,0.0483507,-0.163123,-140.383
0.298,1.94816,0.0132234,0.189382,137.541,0.0480185,-0.170933,-137.505
0.3,1.9525,0.0136037,0.1913,134.587,0.0476711,-0.178155,-134.554
0.302,1.9568,0.0139876,0.193136,131.565,0.0473097,-0.184776,-131.536
0.304,1.96182,0.0143752,0.194888,128.481,0.0469356,-0.190781,-128.455
0.306,1.96628,0.0147663,0.196555,125.34,0.0465499,-0.196161,-125.317
0.308,1.9708,0.0151606,0.198135,122.148,0.0461539,-0.200904,-122.128
0.31,1.97535,0.015558,0.199628,118.911,0.0457489,-0.205002,-118.895
0.312,1.97987,0.0159583,0.201032,115.635,0.0453362,-0.208448,-115.622
0.314,1.98444,0.0163614,0.202346,112.325,0.0449171,-0.211233,-112.316
0.316,1.98903,0.016767,0.203569,108.989,0.044493,-0.213354,-108.983
0.318,1.99362,0.017175,0.204701,105.632,0.0440651,-0.214805,-105.63
0.32,1.99813,0.0175852,0.205741,102.259,0.0436348,-0.215584,-102.261
0.322,2.00283,0.0179974,0.206689,98.8784,0.0432034,-0.215689,-98.8838
0.324,2.00751,0.0184114,0.207545,95.4948,0.0427723,-0.21512,-95.5039
0.326,2.01231,0.0188271,0.208308,92.1148,0.0423429,-0.213876,-92.1275
