"time","wallTime","wc2.P.R[cG][cG](1) [m]","wc2.P.R[cG][cG](2) [m]","wc2.P.R[cG][cG](3) [m]","wc2.P.phi[cG](1) [rad]","wc2.P.phi[cG](2) [rad]","wc2.P.phi[cG](3) [rad]","wc2.P.A(1,1) [-]","wc2.P.A(1,2) [-]","wc2.P.A(1,3) [-]","wc2.P.A(2,1) [-]","wc2.P.A(2,2) [-]","wc2.P.A(2,3) [-]","wc2.P.A(3,1) [-]","wc2.P.A(3,2) [-]","wc2.P.A(3,3) [-]","wc2.P.vR[cG][cG,cG](1) [m/s]","wc2.P.vR[cG][cG,cG](2) [m/s]","wc2.P.vR[cG][cG,cG](3) [m/s]","wc2.P.Omega[cG][cG](1) [rad/s]","wc2.P.Omega[cG][cG](2) [rad/s]","wc2.P.Omega[cG][cG](3) [rad/s]","wc2.P.F_tie[cG](1) [N]","wc2.P.F_tie[cG](2) [N]","wc2.P.F_tie[cG](3) [N]","wc2.P.M_tie[cG][cG](1) [Nm]","wc2.P.M_tie[cG][cG](2) [Nm]","wc2.P.M_tie[cG][cG](3) [Nm]","wc1.P.R[cG][cG](1) [m]","wc1.P.R[cG][cG](2) [m]","wc1.P.R[cG][cG](3) [m]","wc1.P.phi[cG](1) [rad]","wc1.P.phi[cG](2) [rad]","wc1.P.phi[cG](3) [rad]","wc1.P.A(1,1) [-]","wc1.P.A(1,2) [-]","wc1.P.A(1,3) [-]","wc1.P.A(2,1) [-]","wc1.P.A(2,2) [-]","wc1.P.A(2,3) [-]","wc1.P.A(3,1) [-]","wc1.P.A(3,2) [-]","wc1.P.A(3,3) [-]","wc1.P.vR[cG][cG,cG](1) [m/s]","wc1.P.vR[cG][cG,cG](2) [m/s]","wc1.P.vR[cG][cG,cG](3) [m/s]","wc1.P.Omega[cG][cG](1) [rad/s]","wc1.P.Omega[cG][cG](2) [rad/s]","wc1.P.Omega[cG][cG](3) [rad/s]","wc1.P.F_tie[cG](1) [N]","wc1.P.F_tie[cG](2) [N]","wc1.P.F_tie[cG](3) [N]","wc1.P.M_tie[cG][cG](1) [Nm]","wc1.P.M_tie[cG][cG](2) [Nm]","wc1.P.M_tie[cG][cG](3) [Nm]"
0.00198,1.82993,0.5,0,7.15665e-06,0,-2.17748e-05,0,1,0,2.17748e-05,0,1,0,-2.17748e-05,0,1,0.000221114,0,0.00838893,0,-0.00948639,0,18.4749,0,8.64663,0,4.57123,0,0.5,0,7.33778e-06,0,1.57078,0,1.46756e-05,0,-1,0,1,0,1,0,1.46756e-05,-1.21665e-07,-0,0.00829033,0,-0.0165807,0,-18.7077,-0,-15.327,0,-4.51373,0
0.00208,1.83239,0.5,0,8.01644e-06,0,-2.27316e-05,0,1,0,2.27316e-05,0,1,0,-2.27316e-05,0,1,0.000240765,0,0.00882366,0,-0.00971112,0,16.8181,0,8.07704,0,4.03672,0,0.5,0,8.18725e-06,0,1.57078,0,1.63745e-05,0,-1,0,1,0,1,0,1.63745e-05,-1.42728e-07,-0,0.0087165,0,-0.017433,0,-16.975,-0,-14.3892,0,-3.96193,0
0.00218,1.83474,0.5,0,8.9183e-06,0,-2.37255e-05,0,1,0,2.37255e-05,0,1,0,-2.37255e-05,0,1,0.000249123,0,0.00922878,0,-0.0102446,0,15.1212,0,7.49995,0,3.48904,0,0.5,0,9.07819e-06,0,1.57078,0,1.81564e-05,0,-1,0,1,0,1,0,1.81564e-05,-1.65553e-07,-0,0.00911815,0,-0.0182363,0,-15.1974,-0,-13.4249,0,-3.39573,0
0.00228,1.83708,0.5,0,9.85926e-06,0,-2.47875e-05,0,1,0,2.47875e-05,0,1,0,-2.47875e-05,0,1,0.00024622,0,0.00960442,0,-0.0110893,0,13.4599,0,6.94165,0,2.95273,0,0.5,0,1.00081e-05,0,1.57078,0,2.00162e-05,0,-1,0,1,0,1,0,2.00162e-05,-1.90061e-07,-0,0.00949536,0,-0.0189907,0,-13.4549,-0,-12.4776,0,-2.84054,0
0.00238,1.83946,0.5,0,1.08364e-05,0,-2.59484e-05,0,1,0,2.59484e-05,0,1,0,-2.59484e-05,0,1,0.000232547,0,0.00995203,0,-0.012234,0,11.9065,0,6.42602,0,2.45117,0,0.5,0,1.09747e-05,0,1.57077,0,2.19493e-05,0,-1,0,1,0,1,0,2.19493e-05,-2.16185e-07,-0,0.0098493,0,-0.0196986,0,-11.8231,-0,-11.5883,0,-2.32058,0
0.00248,1.84185,0.5,0,1.18471e-05,0,-2.72371e-05,0,1,0,2.72371e-05,0,1,0,-2.72371e-05,0,1,0.000209009,0,0.0102742,0,-0.0136542,0,10.5264,0,5.97428,0,2.00554,0,0.5,0,1.19756e-05,0,1.57077,0,2.39511e-05,0,-1,0,1,0,1,0,2.39511e-05,-2.43874e-07,-0,0.0101821,0,-0.0203643,0,-10.3705,-0,-10.7945,0,-1.85785,0
0.00258,1.84419,0.5,0,1.2889e-05,0,-2.86795e-05,0,1,0,2.86795e-05,0,1,0,-2.86795e-05,0,1,0.0001769,0,0.0105747,0,-0.0153139,0,9.37568,0,5.60454,0,1.63399,0,0.5,0,1.30089e-05,0,1.57077,0,2.60177e-05,0,-1,0,1,0,1,0,2.60177e-05,-2.73108e-07,-0,0.010497,0,-0.020994,0,-9.15616,-0,-10.1286,0,-1.47119,0
0.00268,1.84658,0.5,0,1.396e-05,0,-3.02976e-05,0,1,0,3.02976e-05,0,1,0,-3.02976e-05,0,1,0.000137857,0,0.0108579,0,-0.0171675,0,8.49889,0,5.33091,0,1.35086,0,0.5,0,1.40729e-05,0,1.57077,0,2.81459e-05,0,-1,0,1,0,1,0,2.81459e-05,-3.0391e-07,-0,0.0107977,0,-0.0215953,0,-8.22702,-0,-9.61651,0,-1.17559,0
0.00278,1.84893,0.5,0,1.50588e-05,0,-3.21081e-05,0,1,0,3.21081e-05,0,1,0,-3.21081e-05,0,1,9.37834e-05,0,0.011129,0,-0.0191622,0,7.92718,0,5.16292,0,1.16622,0,0.5,0,1.51666e-05,0,1.57077,0,3.03332e-05,0,-1,0,1,0,1,0,3.03332e-05,-3.36348e-07,-0,0.0110884,0,-0.0221769,0,-7.61633,-0,-9.2767,0,-0.981578,0
0.00288,1.8513,0.5,0,1.61843e-05,0,-3.41226e-05,0,1,0,3.41226e-05,0,1,0,-3.41226e-05,0,1,4.67631e-05,0,0.0113936,0,-0.0212403,0,7.67739,0,5.10508,0,1.08549,0,0.5,0,1.6289e-05,0,1.57076,0,3.2578e-05,0,-1,0,1,0,1,0,3.2578e-05,-3.70541e-07,-0,0.0113739,0,-0.0227479,0,-7.34233,-0,-9.11938,0,-0.894899,0
0.00298,1.85366,0.5,0,1.73362e-05,0,-3.63465e-05,0,1,0,3.63465e-05,0,1,0,-3.63465e-05,0,1,-1.04488e-06,0,0.0116574,0,-0.0233423,0,7.75167,0,5.15687,0,1.10936,0,0.5,0,1.74399e-05,0,1.57076,0,3.48799e-05,0,-1,0,1,0,1,0,3.48799e-05,-4.06661e-07,-0,0.0116589,0,-0.0233178,0,-7.40784,-0,-9.14644,0,-0.916418,0
0.00308,1.85603,0.5,0,1.85146e-05,0,-3.87795e-05,0,1,0,3.87795e-05,0,1,0,-3.87795e-05,0,1,-4.75063e-05,0,0.0119259,0,-0.025409,0,8.13776,0,5.31296,0,1.23389,0,0.5,0,1.86195e-05,0,1.57076,0,3.7239e-05,0,-1,0,1,0,1,0,3.7239e-05,-4.44929e-07,-0,0.0119479,0,-0.0238959,0,-7.80059,-0,-9.35156,0,-1.04219,0
0.00318,1.85839,0.5,0,1.97203e-05,0,-4.14152e-05,0,1,0,4.14152e-05,0,1,0,-4.14152e-05,0,1,-9.06071e-05,0,0.0122044,0,-0.0273846,0,8.80999,0,5.56356,0,1.4508,0,0.5,0,1.98283e-05,0,1.57076,0,3.96567e-05,0,-1,0,1,0,1,0,3.96567e-05,-4.85611e-07,-0,0.0122454,0,-0.0244908,0,-8.49417,-0,-9.72078,0,-1.26379,0
